index;filename;filename_questions;filename_answers;ticker;company_name_transcript
1;2013-Jan-16-JPM.N-140961136671-Transcript.txt;1_questions.txt;1_answers.txt;JPM;JPMorgan Chase & Co.
2;2013-Apr-12-JPM.N-137249419186-Transcript.txt;2_questions.txt;2_answers.txt;JPM;JPMorgan Chase & Co.
3;2013-Jul-12-JPM.N-140859159651-Transcript.txt;3_questions.txt;3_answers.txt;JPM;JPMorgan Chase & Co.
4;2013-Oct-11-JPM.N-139104526385-Transcript.txt;4_questions.txt;4_answers.txt;JPM;JPMorgan Chase & Co.
5;2014-Jan-14-JPM.N-137354865185-Transcript.txt;5_questions.txt;5_answers.txt;JPM;JPMorgan Chase & Co.
6;2014-Apr-11-JPM.N-140165606470-Transcript.txt;6_questions.txt;6_answers.txt;JPM;JPMorgan Chase & Co.
7;2014-Jul-15-JPM.N-140321260641-Transcript.txt;7_questions.txt;7_answers.txt;JPM;JPMorgan Chase & Co.
8;2014-Oct-14-JPM.N-138918479517-Transcript.txt;8_questions.txt;8_answers.txt;JPM;JPMorgan Chase & Co
9;2015-Jan-14-JPM.N-140213325968-Transcript.txt;9_questions.txt;9_answers.txt;JPM;JPMorgan Chase & Co
10;2015-Apr-14-JPM.N-137731590648-Transcript.txt;10_questions.txt;10_answers.txt;JPM;JPMorgan Chase & Co
11;2015-Jul-14-JPM.N-137463527529-Transcript.txt;11_questions.txt;11_answers.txt;JPM;JPMorgan Chase & Co
12;2015-Oct-13-JPM.N-140561706149-Transcript.txt;12_questions.txt;12_answers.txt;JPM;JPMorgan Chase & Co
13;2016-Jan-14-JPM.N-139240302492-Transcript.txt;13_questions.txt;13_answers.txt;JPM;JPMorgan Chase & Co
14;2016-Apr-13-JPM.N-138592450715-Transcript.txt;14_questions.txt;14_answers.txt;JPM;JPMorgan Chase & Co
15;2016-Jul-14-JPM.N-140164291407-Transcript.txt;15_questions.txt;15_answers.txt;JPM;JPMorgan Chase & Co
16;2016-Oct-14-JPM.N-136934024381-Transcript.txt;16_questions.txt;16_answers.txt;JPM;JPMorgan Chase & Co
17;2017-Jan-13-JPM.N-139316849748-Transcript.txt;17_questions.txt;17_answers.txt;JPM;JPMorgan Chase & Co
18;2017-Apr-13-JPM.N-138307122418-Transcript.txt;18_questions.txt;18_answers.txt;JPM;JPMorgan Chase & Co
19;2017-Jul-14-JPM.N-138724678832-Transcript.txt;19_questions.txt;19_answers.txt;JPM;JPMorgan Chase & Co
